ticker,monday_date,friday_date,dte,type,yield_target,monday_close,contract_id,strike,moneyness_actual,premium_mark,bid,ask,spread_rel,delta,iv,yield_actual,friday_close,return_pct,assigned,intrinsic_at_expiry,premium_received_mark,premium_received_bid,assignment_pnl,net_pnl_mark,net_pnl_bid,capital_per_contract,pnl_pct_capital,p_mkt_success
ALKT,2023-12-11,2023-12-15,4,CSP,0.015,22.7,ALKT231215P00022500,22.5,0.008810572687224627,0.35,0.3,0.4,0.2857142857142858,-0.41483,0.4734,0.015555555555555555,23.32,0.027312775330396555,False,0.0,35.0,30.0,0.0,35.0,30.0,2250.0,0.013333333333333334,0.58517
ALKT,2023-12-11,2023-12-15,4,CSP,0.02,22.7,ALKT231215P00022500,22.5,0.008810572687224627,0.35,0.3,0.4,0.2857142857142858,-0.41483,0.4734,0.015555555555555555,23.32,0.027312775330396555,False,0.0,35.0,30.0,0.0,35.0,30.0,2250.0,0.013333333333333334,0.58517
ALKT,2024-02-12,2024-02-16,4,CSP,0.01,26.15,ALKT240216P00025000,25.0,0.043977055449330726,0.23,0.05,0.4,1.5217391304347827,-0.22802,0.60999,0.0092,26.07,-0.00305927342256207,False,0.0,23.0,5.0,0.0,23.0,5.0,2500.0,0.002,0.77198
ALKT,2024-03-11,2024-03-15,4,CC,0.005,23.28,ALKT240315C00025000,25.0,0.07388316151202745,0.12,0.05,0.2,1.2500000000000002,0.15316,0.63925,0.005154639175257732,23.11,-0.007302405498281872,False,0.0,12.0,5.0,0.0,12.0,5.0,2328.0,0.002147766323024055,0.84684
ALKT,2024-03-11,2024-03-15,4,CSP,0.035,23.28,ALKT240315P00022500,22.5,0.03350515463917525,0.93,0.05,1.8,1.8817204301075268,-0.3761,1.35143,0.04133333333333333,23.11,-0.007302405498281872,False,0.0,93.0,5.0,0.0,93.0,5.0,2250.0,0.0022222222222222222,0.6239
ALKT,2024-03-11,2024-03-15,4,CSP,0.04,23.28,ALKT240315P00022500,22.5,0.03350515463917525,0.93,0.05,1.8,1.8817204301075268,-0.3761,1.35143,0.04133333333333333,23.11,-0.007302405498281872,False,0.0,93.0,5.0,0.0,93.0,5.0,2250.0,0.0022222222222222222,0.6239
ALKT,2024-03-11,2024-03-15,4,CSP,0.045,23.28,ALKT240315P00022500,22.5,0.03350515463917525,0.93,0.05,1.8,1.8817204301075268,-0.3761,1.35143,0.04133333333333333,23.11,-0.007302405498281872,False,0.0,93.0,5.0,0.0,93.0,5.0,2250.0,0.0022222222222222222,0.6239
ALKT,2024-03-11,2024-03-15,4,CSP,0.05,23.28,ALKT240315P00022500,22.5,0.03350515463917525,0.93,0.05,1.8,1.8817204301075268,-0.3761,1.35143,0.04133333333333333,23.11,-0.007302405498281872,False,0.0,93.0,5.0,0.0,93.0,5.0,2250.0,0.0022222222222222222,0.6239
ALKT,2024-04-15,2024-04-19,4,CSP,0.005,23.56,ALKT240419P00022500,22.5,0.044991511035653575,0.12,0.05,0.2,1.2500000000000002,-0.17638,0.49292,0.005333333333333333,23.78,0.009337860780984863,False,0.0,12.0,5.0,0.0,12.0,5.0,2250.0,0.0022222222222222222,0.82362
ALKT,2024-12-16,2024-12-20,4,CC,0.01,39.71,ALKT241220C00045000,45.0,0.13321581465625787,0.4,0.05,0.75,1.7499999999999998,0.16641,1.15631,0.010073029463611181,39.12,-0.014857718458826552,False,0.0,40.0,5.0,0.0,40.0,5.0,3971.0,0.0012591286829513977,0.83359
ALKT,2024-12-16,2024-12-20,4,CC,0.015,39.71,ALKT241220C00040000,40.0,0.007302946361118057,0.65,0.5,0.8,0.46153846153846156,0.4541,0.46365,0.01636867287836817,39.12,-0.014857718458826552,False,0.0,65.0,50.0,0.0,65.0,50.0,3971.0,0.012591286829513977,0.5459
ALKT,2024-12-16,2024-12-20,4,CC,0.02,39.71,ALKT241220C00040000,40.0,0.007302946361118057,0.65,0.5,0.8,0.46153846153846156,0.4541,0.46365,0.01636867287836817,39.12,-0.014857718458826552,False,0.0,65.0,50.0,0.0,65.0,50.0,3971.0,0.012591286829513977,0.5459
ALKT,2025-03-17,2025-03-21,4,CSP,0.015,25.71,ALKT250321P00025000,25.0,0.027615713730066105,0.42,0.25,0.6,0.8333333333333333,-0.33309,0.68803,0.0168,26.55,0.03267211201866971,False,0.0,42.0,25.0,0.0,42.0,25.0,2500.0,0.01,0.66691
ALKT,2025-03-17,2025-03-21,4,CSP,0.02,25.71,ALKT250321P00025000,25.0,0.027615713730066105,0.42,0.25,0.6,0.8333333333333333,-0.33309,0.68803,0.0168,26.55,0.03267211201866971,False,0.0,42.0,25.0,0.0,42.0,25.0,2500.0,0.01,0.66691
ALKT,2025-06-16,2025-06-20,4,CC,0.015,27.19,ALKT250620C00027500,27.5,0.01140125045972784,0.5,0.15,0.85,1.4,0.43821,0.56121,0.018389113644722323,27.95,0.02795145273997779,True,0.4499999999999993,50.0,15.0,-44.99999999999993,5.000000000000071,-29.99999999999993,2719.0,-0.01103346818683337,0.56179
ALKT,2025-06-16,2025-06-20,4,CC,0.02,27.19,ALKT250620C00027500,27.5,0.01140125045972784,0.5,0.15,0.85,1.4,0.43821,0.56121,0.018389113644722323,27.95,0.02795145273997779,True,0.4499999999999993,50.0,15.0,-44.99999999999993,5.000000000000071,-29.99999999999993,2719.0,-0.01103346818683337,0.56179
ALKT,2025-07-14,2025-07-18,4,CC,0.01,28.98,ALKT250718C00030000,30.0,0.035196687370600444,0.33,0.25,0.4,0.4545454545454546,0.30117,0.59047,0.011387163561076604,27.81,-0.04037267080745344,False,0.0,33.0,25.0,0.0,33.0,25.0,2898.0,0.00862663906142167,0.6988300000000001
ALKT,2025-07-14,2025-07-18,4,CC,0.015,28.98,ALKT250718C00030000,30.0,0.035196687370600444,0.33,0.25,0.4,0.4545454545454546,0.30117,0.59047,0.011387163561076604,27.81,-0.04037267080745344,False,0.0,33.0,25.0,0.0,33.0,25.0,2898.0,0.00862663906142167,0.6988300000000001
ALKT,2025-09-15,2025-09-19,4,CSP,0.005,25.23,ALKT250919P00022500,22.5,0.10820451843043999,0.1,0.05,0.15,0.9999999999999999,-0.09157,0.85388,0.0044444444444444444,25.29,0.0023781212841853527,False,0.0,10.0,5.0,0.0,10.0,5.0,2250.0,0.0022222222222222222,0.90843
ALKT,2025-11-17,2025-11-21,4,CSP,0.025,20.4,ALKT251121P00020000,20.0,0.019607843137254832,0.62,0.2,1.05,1.370967741935484,-0.40078,0.9612,0.031,21.51,0.054411764705882604,False,0.0,62.0,20.0,0.0,62.0,20.0,2000.0,0.01,0.59922
ALKT,2025-11-17,2025-11-21,4,CSP,0.03,20.4,ALKT251121P00020000,20.0,0.019607843137254832,0.62,0.2,1.05,1.370967741935484,-0.40078,0.9612,0.031,21.51,0.054411764705882604,False,0.0,62.0,20.0,0.0,62.0,20.0,2000.0,0.01,0.59922
ALKT,2025-11-17,2025-11-21,4,CSP,0.035,20.4,ALKT251121P00020000,20.0,0.019607843137254832,0.62,0.2,1.05,1.370967741935484,-0.40078,0.9612,0.031,21.51,0.054411764705882604,False,0.0,62.0,20.0,0.0,62.0,20.0,2000.0,0.01,0.59922
ALKT,2025-11-17,2025-11-21,4,CSP,0.04,20.4,ALKT251121P00020000,20.0,0.019607843137254832,0.62,0.2,1.05,1.370967741935484,-0.40078,0.9612,0.031,21.51,0.054411764705882604,False,0.0,62.0,20.0,0.0,62.0,20.0,2000.0,0.01,0.59922
ALKT,2026-01-12,2026-01-16,4,CC,0.02,21.96,ALKT260116C00022500,22.5,0.024590163934426146,0.48,0.15,0.8,1.3541666666666667,0.39826,0.76608,0.02185792349726776,19.88,-0.09471766848816032,False,0.0,48.0,15.0,0.0,48.0,15.0,2196.0,0.006830601092896175,0.6017399999999999
ALKT,2026-01-12,2026-01-16,4,CC,0.025,21.96,ALKT260116C00022500,22.5,0.024590163934426146,0.48,0.15,0.8,1.3541666666666667,0.39826,0.76608,0.02185792349726776,19.88,-0.09471766848816032,False,0.0,48.0,15.0,0.0,48.0,15.0,2196.0,0.006830601092896175,0.6017399999999999
ALKT,2026-03-16,2026-03-20,4,CC,0.02,17.61,ALKT260320C00020000,20.0,0.1357183418512209,0.35,0.05,0.65,1.7142857142857144,0.23247,1.49777,0.019875070982396364,16.82,-0.04486087450312315,False,0.0,35.0,5.0,0.0,35.0,5.0,1761.0,0.0028392958546280523,0.76753
ALKT,2026-03-16,2026-03-20,4,CC,0.025,17.61,ALKT260320C00020000,20.0,0.1357183418512209,0.35,0.05,0.65,1.7142857142857144,0.23247,1.49777,0.019875070982396364,16.82,-0.04486087450312315,False,0.0,35.0,5.0,0.0,35.0,5.0,1761.0,0.0028392958546280523,0.76753
ARQQ,2021-10-11,2021-10-15,4,CC,0.015,15.61,ARQQ211015C00022500,22.5,0.4413837283792441,0.23,0.05,0.4,1.5217391304347827,0.12012,2.65872,0.01473414477898783,14.65,-0.061499039077514306,False,0.0,23.0,5.0,0.0,23.0,5.0,1561.0,0.0032030749519538757,0.87988
ARQQ,2021-10-11,2021-10-15,4,CC,0.02,15.61,ARQQ211015C00020000,20.0,0.28122998078155037,0.28,0.1,0.45,1.2499999999999998,0.16434,2.17092,0.017937219730941707,14.65,-0.061499039077514306,False,0.0,28.000000000000004,10.0,0.0,28.000000000000004,10.0,1561.0,0.0064061499039077515,0.83566
ARQQ,2021-10-11,2021-10-15,4,CC,0.025,15.61,ARQQ211015C00017500,17.5,0.12107623318385663,0.43,0.3,0.55,0.5813953488372094,0.28166,1.64411,0.02754644458680333,14.65,-0.061499039077514306,False,0.0,43.0,30.0,0.0,43.0,30.0,1561.0,0.019218449711723255,0.71834
ARQQ,2021-10-11,2021-10-15,4,CC,0.03,15.61,ARQQ211015C00017500,17.5,0.12107623318385663,0.43,0.3,0.55,0.5813953488372094,0.28166,1.64411,0.02754644458680333,14.65,-0.061499039077514306,False,0.0,43.0,30.0,0.0,43.0,30.0,1561.0,0.019218449711723255,0.71834
ARQQ,2021-10-11,2021-10-15,4,CC,0.035,15.61,ARQQ211015C00017500,17.5,0.12107623318385663,0.43,0.3,0.55,0.5813953488372094,0.28166,1.64411,0.02754644458680333,14.65,-0.061499039077514306,False,0.0,43.0,30.0,0.0,43.0,30.0,1561.0,0.019218449711723255,0.71834
ARQQ,2021-10-11,2021-10-15,4,CSP,0.025,15.61,ARQQ211015P00010000,10.0,0.3593850096092248,0.25,0.05,0.45,1.6,-0.08172,3.51723,0.025,14.65,-0.061499039077514306,False,0.0,25.0,5.0,0.0,25.0,5.0,1000.0,0.005,0.91828
ARQQ,2021-10-11,2021-10-15,4,CSP,0.03,15.61,ARQQ211015P00010000,10.0,0.3593850096092248,0.25,0.05,0.45,1.6,-0.08172,3.51723,0.025,14.65,-0.061499039077514306,False,0.0,25.0,5.0,0.0,25.0,5.0,1000.0,0.005,0.91828
ARQQ,2021-10-11,2021-10-15,4,CSP,0.045,15.61,ARQQ211015P00012500,12.5,0.19923126201153107,0.68,0.65,0.7,0.07352941176470577,-0.20067,3.14651,0.054400000000000004,14.65,-0.061499039077514306,False,0.0,68.0,65.0,0.0,68.0,65.0,1250.0,0.052,0.79933
ARQQ,2021-10-11,2021-10-15,4,CSP,0.05,15.61,ARQQ211015P00012500,12.5,0.19923126201153107,0.68,0.65,0.7,0.07352941176470577,-0.20067,3.14651,0.054400000000000004,14.65,-0.061499039077514306,False,0.0,68.0,65.0,0.0,68.0,65.0,1250.0,0.052,0.79933
ARQQ,2021-11-15,2021-11-19,4,CC,0.015,22.27,ARQQ211119C00025000,25.0,0.12258643915581513,0.33,0.25,0.4,0.4545454545454546,0.20956,1.26363,0.014818140996856759,24.5,0.10013471037269861,False,0.0,33.0,25.0,0.0,33.0,25.0,2227.0,0.01122586439155815,0.79044
ARQQ,2021-11-15,2021-11-19,4,CC,0.035,22.27,ARQQ211119C00022500,22.5,0.010327795240233417,0.85,0.6,1.1,0.5882352941176472,0.4835,1.02949,0.03816793893129771,24.5,0.10013471037269861,True,2.0,85.0,60.0,-200.0,-115.0,-140.0,2227.0,-0.06286484059272564,0.5165
ARQQ,2021-11-15,2021-11-19,4,CC,0.04,22.27,ARQQ211119C00022500,22.5,0.010327795240233417,0.85,0.6,1.1,0.5882352941176472,0.4835,1.02949,0.03816793893129771,24.5,0.10013471037269861,True,2.0,85.0,60.0,-200.0,-115.0,-140.0,2227.0,-0.06286484059272564,0.5165
ARQQ,2021-11-15,2021-11-19,4,CC,0.045,22.27,ARQQ211119C00022500,22.5,0.010327795240233417,0.85,0.6,1.1,0.5882352941176472,0.4835,1.02949,0.03816793893129771,24.5,0.10013471037269861,True,2.0,85.0,60.0,-200.0,-115.0,-140.0,2227.0,-0.06286484059272564,0.5165
ARQQ,2021-11-15,2021-11-19,4,CC,0.05,22.27,ARQQ211119C00022500,22.5,0.010327795240233417,0.85,0.6,1.1,0.5882352941176472,0.4835,1.02949,0.03816793893129771,24.5,0.10013471037269861,True,2.0,85.0,60.0,-200.0,-115.0,-140.0,2227.0,-0.06286484059272564,0.5165
ARQQ,2021-11-15,2021-11-19,4,CSP,0.005,22.27,ARQQ211119P00015000,15.0,0.32644813650651094,0.08,0.05,0.1,0.625,-0.03568,2.23921,0.005333333333333333,24.5,0.10013471037269861,False,0.0,8.0,5.0,0.0,8.0,5.0,1500.0,0.0033333333333333335,0.96432
ARQQ,2021-11-15,2021-11-19,4,CSP,0.01,22.27,ARQQ211119P00017500,17.5,0.21418949259092945,0.2,0.1,0.3,0.9999999999999999,-0.09076,1.85874,0.011428571428571429,24.5,0.10013471037269861,False,0.0,20.0,10.0,0.0,20.0,10.0,1750.0,0.005714285714285714,0.90924
ARQQ,2021-11-15,2021-11-19,4,CSP,0.015,22.27,ARQQ211119P00017500,17.5,0.21418949259092945,0.2,0.1,0.3,0.9999999999999999,-0.09076,1.85874,0.011428571428571429,24.5,0.10013471037269861,False,0.0,20.0,10.0,0.0,20.0,10.0,1750.0,0.005714285714285714,0.90924
ARQQ,2021-11-15,2021-11-19,4,CSP,0.03,22.27,ARQQ211119P00020000,20.0,0.10193084867534796,0.72,0.5,0.95,0.625,-0.25474,1.81971,0.036,24.5,0.10013471037269861,False,0.0,72.0,50.0,0.0,72.0,50.0,2000.0,0.025,0.74526
ARQQ,2021-11-15,2021-11-19,4,CSP,0.035,22.27,ARQQ211119P00020000,20.0,0.10193084867534796,0.72,0.5,0.95,0.625,-0.25474,1.81971,0.036,24.5,0.10013471037269861,False,0.0,72.0,50.0,0.0,72.0,50.0,2000.0,0.025,0.74526
ARQQ,2021-11-15,2021-11-19,4,CSP,0.04,22.27,ARQQ211119P00020000,20.0,0.10193084867534796,0.72,0.5,0.95,0.625,-0.25474,1.81971,0.036,24.5,0.10013471037269861,False,0.0,72.0,50.0,0.0,72.0,50.0,2000.0,0.025,0.74526
ARQQ,2021-11-15,2021-11-19,4,CSP,0.045,22.27,ARQQ211119P00020000,20.0,0.10193084867534796,0.72,0.5,0.95,0.625,-0.25474,1.81971,0.036,24.5,0.10013471037269861,False,0.0,72.0,50.0,0.0,72.0,50.0,2000.0,0.025,0.74526
ARQQ,2021-12-13,2021-12-17,4,CC,0.01,17.71,ARQQ211217C00022500,22.5,0.27046866177300943,0.17,0.15,0.2,0.2941176470588236,0.11536,1.77093,0.009599096555618296,19.92,0.12478825522303794,False,0.0,17.0,15.0,0.0,17.0,15.0,1771.0,0.00846979107848673,0.88464
ARQQ,2021-12-13,2021-12-17,4,CC,0.02,17.71,ARQQ211217C00020000,20.0,0.12930547713156404,0.38,0.25,0.5,0.6578947368421053,0.24632,1.51728,0.021456804065499716,19.92,0.12478825522303794,False,0.0,38.0,25.0,0.0,38.0,25.0,1771.0,0.014116318464144552,0.75368
ARQQ,2021-12-13,2021-12-17,4,CC,0.025,17.71,ARQQ211217C00020000,20.0,0.12930547713156404,0.38,0.25,0.5,0.6578947368421053,0.24632,1.51728,0.021456804065499716,19.92,0.12478825522303794,False,0.0,38.0,25.0,0.0,38.0,25.0,1771.0,0.014116318464144552,0.75368
ARQQ,2021-12-13,2021-12-17,4,CSP,0.01,17.71,ARQQ211217P00012500,12.5,0.2941840767927725,0.1,0.05,0.15,0.9999999999999999,-0.05309,2.2197,0.008,19.92,0.12478825522303794,False,0.0,10.0,5.0,0.0,10.0,5.0,1250.0,0.004,0.94691
ARQQ,2021-12-13,2021-12-17,4,CSP,0.025,17.71,ARQQ211217P00015000,15.0,0.15302089215132697,0.43,0.4,0.45,0.11627906976744183,-0.18771,2.03434,0.028666666666666667,19.92,0.12478825522303794,False,0.0,43.0,40.0,0.0,43.0,40.0,1500.0,0.02666666666666667,0.81229
ARQQ,2021-12-13,2021-12-17,4,CSP,0.03,17.71,ARQQ211217P00015000,15.0,0.15302089215132697,0.43,0.4,0.45,0.11627906976744183,-0.18771,2.03434,0.028666666666666667,19.92,0.12478825522303794,False,0.0,43.0,40.0,0.0,43.0,40.0,1500.0,0.02666666666666667,0.81229
ARQQ,2021-12-13,2021-12-17,4,CSP,0.035,17.71,ARQQ211217P00015000,15.0,0.15302089215132697,0.43,0.4,0.45,0.11627906976744183,-0.18771,2.03434,0.028666666666666667,19.92,0.12478825522303794,False,0.0,43.0,40.0,0.0,43.0,40.0,1500.0,0.02666666666666667,0.81229
ARQQ,2021-12-27,2021-12-31,4,CC,0.015,25.02,ARQQ211231C00030000,30.0,0.19904076738609122,0.33,0.2,0.45,0.7575757575757576,0.15957,1.60508,0.013189448441247004,23.95,-0.04276578737010395,False,0.0,33.0,20.0,0.0,33.0,20.0,2502.0,0.007993605115907274,0.84043
ARQQ,2021-12-27,2021-12-31,4,CC,0.025,25.02,ARQQ211231C00027000,27.0,0.07913669064748197,0.68,0.5,0.85,0.5147058823529411,0.32006,1.35143,0.027178257394084734,23.95,-0.04276578737010395,False,0.0,68.0,50.0,0.0,68.0,50.0,2502.0,0.019984012789768184,0.67994
ARQQ,2021-12-27,2021-12-31,4,CC,0.03,25.02,ARQQ211231C00027000,27.0,0.07913669064748197,0.68,0.5,0.85,0.5147058823529411,0.32006,1.35143,0.027178257394084734,23.95,-0.04276578737010395,False,0.0,68.0,50.0,0.0,68.0,50.0,2502.0,0.019984012789768184,0.67994
ARQQ,2021-12-27,2021-12-31,4,CC,0.035,25.02,ARQQ211231C00026000,26.0,0.039168665067945696,0.88,0.65,1.1,0.5113636363636365,0.40801,1.23436,0.035171862509992005,23.95,-0.04276578737010395,False,0.0,88.0,65.0,0.0,88.0,65.0,2502.0,0.02597921662669864,0.59199
ARQQ,2021-12-27,2021-12-31,4,CC,0.04,25.02,ARQQ211231C00026000,26.0,0.039168665067945696,0.88,0.65,1.1,0.5113636363636365,0.40801,1.23436,0.035171862509992005,23.95,-0.04276578737010395,False,0.0,88.0,65.0,0.0,88.0,65.0,2502.0,0.02597921662669864,0.59199
ARQQ,2021-12-27,2021-12-31,4,CC,0.045,25.02,ARQQ211231C00026000,26.0,0.039168665067945696,0.88,0.65,1.1,0.5113636363636365,0.40801,1.23436,0.035171862509992005,23.95,-0.04276578737010395,False,0.0,88.0,65.0,0.0,88.0,65.0,2502.0,0.02597921662669864,0.59199
ARQQ,2021-12-27,2021-12-31,4,CSP,0.01,25.02,ARQQ211231P00020000,20.0,0.2006394884092726,0.22,0.1,0.35,1.1363636363636362,-0.09457,1.75142,0.011,23.95,-0.04276578737010395,False,0.0,22.0,10.0,0.0,22.0,10.0,2000.0,0.005,0.90543
ARQQ,2021-12-27,2021-12-31,4,CSP,0.025,25.02,ARQQ211231P00022500,22.5,0.1007194244604317,0.7,0.55,0.85,0.4285714285714285,-0.24489,1.68313,0.03111111111111111,23.95,-0.04276578737010395,False,0.0,70.0,55.00000000000001,0.0,70.0,55.00000000000001,2250.0,0.02444444444444445,0.75511
ARQQ,2021-12-27,2021-12-31,4,CSP,0.03,25.02,ARQQ211231P00022500,22.5,0.1007194244604317,0.7,0.55,0.85,0.4285714285714285,-0.24489,1.68313,0.03111111111111111,23.95,-0.04276578737010395,False,0.0,70.0,55.00000000000001,0.0,70.0,55.00000000000001,2250.0,0.02444444444444445,0.75511
ARQQ,2021-12-27,2021-12-31,4,CSP,0.035,25.02,ARQQ211231P00022500,22.5,0.1007194244604317,0.7,0.55,0.85,0.4285714285714285,-0.24489,1.68313,0.03111111111111111,23.95,-0.04276578737010395,False,0.0,70.0,55.00000000000001,0.0,70.0,55.00000000000001,2250.0,0.02444444444444445,0.75511
ARQQ,2021-12-27,2021-12-31,4,CSP,0.04,25.02,ARQQ211231P00023000,23.0,0.08073541167066345,0.9,0.7,1.1,0.4444444444444446,-0.28872,1.72215,0.0391304347826087,23.95,-0.04276578737010395,False,0.0,90.0,70.0,0.0,90.0,70.0,2300.0,0.030434782608695653,0.71128
ARQQ,2021-12-27,2021-12-31,4,CSP,0.045,25.02,ARQQ211231P00023000,23.0,0.08073541167066345,0.9,0.7,1.1,0.4444444444444446,-0.28872,1.72215,0.0391304347826087,23.95,-0.04276578737010395,False,0.0,90.0,70.0,0.0,90.0,70.0,2300.0,0.030434782608695653,0.71128
ARQQ,2021-12-27,2021-12-31,4,CSP,0.05,25.02,ARQQ211231P00024000,24.0,0.04076738609112707,1.27,1.05,1.5,0.3543307086614173,-0.37315,1.69289,0.05291666666666667,23.95,-0.04276578737010395,True,0.05000000000000071,127.0,105.0,-5.000000000000071,121.99999999999993,99.99999999999993,2400.0,0.04166666666666664,0.62685
ARQQ,2022-01-03,2022-01-07,4,CC,0.015,20.51,ARQQ220107C00025000,25.0,0.2189176011701608,0.28,0.05,0.5,1.607142857142857,0.15676,1.72215,0.013651877133105802,18.65,-0.09068746952706008,False,0.0,28.000000000000004,5.0,0.0,28.000000000000004,5.0,2051.0,0.0024378352023403218,0.84324
ARQQ,2022-01-03,2022-01-07,4,CC,0.025,20.51,ARQQ220107C00022000,22.0,0.0726474890297415,0.62,0.25,1.0,1.2096774193548387,0.33985,1.3807,0.03022915650901999,18.65,-0.09068746952706008,False,0.0,62.0,25.0,0.0,62.0,25.0,2051.0,0.01218917601170161,0.66015
ARQQ,2022-01-03,2022-01-07,4,CC,0.03,20.51,ARQQ220107C00022000,22.0,0.0726474890297415,0.62,0.25,1.0,1.2096774193548387,0.33985,1.3807,0.03022915650901999,18.65,-0.09068746952706008,False,0.0,62.0,25.0,0.0,62.0,25.0,2051.0,0.01218917601170161,0.66015
ARQQ,2022-01-03,2022-01-07,4,CC,0.035,20.51,ARQQ220107C00021500,21.5,0.04826913700633839,0.65,0.15,1.15,1.5384615384615383,0.38074,1.2246,0.03169185763042418,18.65,-0.09068746952706008,False,0.0,65.0,15.0,0.0,65.0,15.0,2051.0,0.007313505607020965,0.6192599999999999
ARQQ,2022-01-03,2022-01-07,4,CC,0.04,20.51,ARQQ220107C00021500,21.5,0.04826913700633839,0.65,0.15,1.15,1.5384615384615383,0.38074,1.2246,0.03169185763042418,18.65,-0.09068746952706008,False,0.0,65.0,15.0,0.0,65.0,15.0,2051.0,0.007313505607020965,0.6192599999999999
ARQQ,2022-01-03,2022-01-07,4,CSP,0.015,20.51,ARQQ220107P00016500,16.5,0.19551438322769388,0.25,0.05,0.45,1.6,-0.11515,1.888,0.015151515151515152,18.65,-0.09068746952706008,False,0.0,25.0,5.0,0.0,25.0,5.0,1650.0,0.0030303030303030303,0.88485
ARQQ,2022-01-03,2022-01-07,4,CSP,0.02,20.51,ARQQ220107P00018500,18.5,0.09800097513408101,0.45,0.1,0.8,1.5555555555555556,-0.22727,1.4685,0.024324324324324326,18.65,-0.09068746952706008,False,0.0,45.0,10.0,0.0,45.0,10.0,1850.0,0.005405405405405406,0.77273
ARQQ,2022-01-03,2022-01-07,4,CSP,0.025,20.51,ARQQ220107P00018500,18.5,0.09800097513408101,0.45,0.1,0.8,1.5555555555555556,-0.22727,1.4685,0.024324324324324326,18.65,-0.09068746952706008,False,0.0,45.0,10.0,0.0,45.0,10.0,1850.0,0.005405405405405406,0.77273
ARQQ,2022-01-03,2022-01-07,4,CSP,0.03,20.51,ARQQ220107P00018500,18.5,0.09800097513408101,0.45,0.1,0.8,1.5555555555555556,-0.22727,1.4685,0.024324324324324326,18.65,-0.09068746952706008,False,0.0,45.0,10.0,0.0,45.0,10.0,1850.0,0.005405405405405406,0.77273
